206	2379
2285	4886
454	2236
2285	5332
226	1023
1400	3161
700	4090
64	2285
1561	4922
2516	4432
1677	5653
2285	4443
121	3691
3037	3362
4718	5487
2204	4090
655	3696
679	4388
536	679
1627	4090
2073	2441
655	2462
121	679
2801	4767
2285	4630
1132	2892
2785	5057
1111	5677
1677	1921
832	3696
2379	5340
2370	4344
2785	4624
817	2441
2785	5449
3133	3374
700	1627
2785	4859
3141	5487
1207	2073
832	2462
700	2204
37	3599
1207	2441
1677	5548
2247	2516
2285	5205
515	3037
1253	1677
1314	2441
1314	2073
4624	5057
121	2785
1111	2441
1023	2801
972	2249
3272	5653
206	1627
2285	2288
4622	4922
2375	2668
2822	4779
3272	3599
464	1579
817	1207
3563	4491
148	655
129	2476
37	5029
655	5100
817	1314
655	2287
19	655
817	1111
1023	2375
2785	4673
205	679
679	1446
1023	4767
443	1677
1099	2379
2689	3106
2441	2471
1208	2254
3313	5729
543	1885
5417	5573
2689	5417
1207	1314
571	3723
1111	1207
144	5553
2480	3582
2326	2634
655	3561
1111	1314
226	248
1927	2379
3876	5108
3141	4718
817	2471
1561	4622
1909	5573
1815	2254
4673	5057
1079	2254
3582	5110
3691	5057
2785	3835
1921	4339
832	5100
1446	2940
3106	5573
832	2287
19	832
2516	4257
4144	5487
3691	4624
2285	3473
3257	3492
700	4196
860	3363
1491	5362
3739	5000
1108	2785
932	4518
1207	2471
1314	2471
1280	1297
3562	3786
1253	5653
37	3272
2104	2785
2073	2666
2163	4886
2940	4859
907	4662
2731	4574
2806	3390
129	206
2114	5636
972	3775
1491	1641
1890	2163
4339	5548
2441	2666
2721	5369
3299	4962
1111	2471
3681	4574
1253	5029
648	3137
1446	3582
4767	5359
1921	5029
2785	5626
2801	5359
3696	5100
19	3696
2287	3696
776	2785
1080	2516
334	1132
695	3562
1023	4515
1253	3599
443	3599
3835	5057
2479	5340
757	5380
851	3930
2801	4102
1255	5487
832	3561
4056	4197
1627	2204
334	860
3930	4148
1921	5653
2822	3257
1253	4339
3835	4624
2163	5332
109	2400
36	4002
679	5546
1286	2738
783	3930
1677	1992
1748	5729
2533	4432
501	1579
2287	2462
3583	5487
2462	5100
1108	5057
4859	5057
989	4779
729	5487
860	5094
19	2462
3133	3257
817	2666
1627	4196
504	3221
1108	4624
3155	3390
4624	4859
1082	4344
679	5026
243	3679
2362	3563
2785	4388
713	4190
480	870
1721	4002
2161	5104
1921	3599
1406	2640
2516	5360
2462	3561
1511	3943
3257	5114
2785	5546
4216	5703
2516	2533
2459	4665
4554	5624
1121	5439
1446	5546
2104	5057
679	1135
443	4339
713	2249
298	2731
757	1188
3691	4673
3599	5548
226	4767
1909	5417
700	813
2236	2266
2785	3345
1571	5487
2104	4624
1491	2420
1748	3313
3460	4537
2785	5731
1207	2666
1890	4886
3221	4216
3106	5417
2972	5573
1491	2576
2370	3582
45	3599
1941	2396
387	1561
2846	4090
3037	5734
3106	5000
45	1677
536	3691
35	655
3876	5729
516	4226
850	3072
4102	4767
538	5487
2204	4196
1941	3725
4049	4666
2954	3930
1111	2666
2285	5587
2312	4803
4388	5057
78	1067
468	1782
2822	3492
1099	2479
571	1163
2785	5459
144	3137
2785	4755
4886	5332
1807	3908
2221	5487
3874	5057
4190	5573
1099	2476
4388	4624
431	655
64	2163
3257	3931
1890	5332
2312	5653
2972	3106
679	3345
4190	5073
1042	2334
1502	2430
417	4515
3874	4624
505	3492
226	4515
2348	4102
543	5085
3930	4671
3221	3797
2041	2763
3162	5134
2742	5487
387	1143
414	3930
2727	4962
2801	2918
2516	4050
1190	2990
3221	5703
713	1771
741	1561
1491	2202
3835	4673
1455	1465
3691	3835
679	3661
3106	3739
965	3930
3582	5057
1406	2880
148	3561
2191	3930
1807	4538
2397	5487
3037	5120
612	2260
1909	3106
4495	5439
493	4246
414	4922
536	5057
3790	4922
4306	4922
3582	4624
1255	4718
1709	4922
1900	2950
1108	3978
1304	4102
650	2592
206	5340
1150	3930
1677	4487
2420	3299
355	2516
2918	4102
5000	5573
5057	5731
424	4246
4666	4901
3535	5036
1318	1960
2348	3723
679	4755
641	1921
2034	2519
536	4624
4673	4859
51	5487
4859	5546
45	641
1108	4673
3739	5573
2689	5036
2293	3930
2471	2666
757	1797
679	2480
2252	5546
1108	3691
1050	2516
3363	3619
2248	3782
1455	4174
4624	5731
3492	5114
325	4049
2420	4962
1921	5548
2339	2785
1895	2689
5057	5459
813	1627
2413	2988
4779	5423
5276	5573
695	1667
480	1067
82	2785
2362	3137
3797	4216
3596	5487
1055	2254
4394	5487
3876	4290
4155	4246
148	5100
387	1907
19	5100
3782	4661
879	5439
19	148
641	5548
398	3172
35	832
2972	5417
655	4330
148	2287
2104	3691
2023	5487
2192	5022
2312	5029
2104	4673
1561	4695
3538	3582
4624	5459
2348	2668
2254	3448
1406	3878
3782	4395
2512	3748
1466	2950
655	1225
1748	4290
2252	3582
813	4196
453	1286
351	2856
1677	2109
505	2822
3930	4142
37	1253
2478	4426
5057	5110
655	1296
1455	2598
3610	4565
92	1693
3243	4832
2163	4443
57	5487
1253	1921
3790	4496
1163	3723
1677	4334
1799	2847
482	5487
802	4886
1318	4641
713	3775
543	5013
1662	4229
2276	2502
1944	4246
3133	3492
37	45
2539	3948
429	3162
431	832
4624	5110
740	2981
3034	3930
3108	4922
2156	2516
989	3257
206	1099
3395	4665
398	848
3072	4293
1865	5487
1304	2375
2260	5527
1992	4339
38	655
398	3260
582	4867
1023	5359
556	4491
1318	1836
3930	5771
64	4886
2420	5362
1839	4537
2738	4725
1570	1928
957	3930
1399	2990
4537	5147
504	4216
729	4718
1253	3272
813	2204
37	5548
5006	5537
2045	4574
4487	5653
417	2668
444	5487
35	3696
243	5729
2334	4962
1045	2202
2221	3583
1045	2576
1194	4432
3492	3931
504	3797
2501	3137
64	1890
1491	4165
996	5487
2339	5057
4922	5687
4077	5546
655	4704
3386	5487
3582	3874
1524	5487
2940	3661
2990	4112
3691	4388
82	679
3916	4344
2539	5537
2375	4767
4090	5586
992	4246
106	3492
398	5232
2972	3739
3835	4859
3874	4673
2822	5114
2339	4624
1446	4859
1679	4181
398	4543
2106	4496
1108	3835
2254	3127
3177	5487
757	3704
398	3441
248	4102
205	3691
3599	4487
830	976
3106	4190
1661	1677
129	5340
3507	5487
1620	5487
3106	5276
2147	5487
2778	5537
3257	3929
2400	5511
205	3582
2918	4767
1045	2887
3611	4665
3930	4073
2918	3723
476	3514
443	2575
3242	5487
3930	4506
1921	3272
2287	3561
2887	5362
3561	5100
505	5114
3691	5269
700	2846
442	5653
4388	4673
3797	5703
713	5036
761	3184
387	1150
1561	4706
1194	2516
2689	5073
2413	5380
5110	5546
1728	5487
419	757
2104	3835
4446	5406
1304	2918
431	3696
3582	4673
1909	2972
972	1146
4922	5447
1135	3691
3930	5647
35	2462
1871	5528
556	648
1108	4859
850	3390
2516	3340
4941	5402
3948	5537
1895	5573
3938	3943
445	4914
3272	5548
504	5703
2822	3133
2448	5537
4836	5439
3930	4300
387	5596
2640	2880
102	2727
3715	5012
3324	3930
2214	4950
153	2413
1400	5692
45	3272
2972	5000
1381	1561
398	1032
832	4330
1907	2954
4859	5110
1010	5487
1771	2972
776	3691
501	2950
1647	5487
3528	4922
4487	5029
650	5447
2785	3665
536	4673
3948	5596
54	5209
420	2863
3141	4144
832	1225
3390	5334
569	1677
5287	5487
112	2413
3412	5487
443	1253
2516	5154
2940	5057
