2285	4886	11984
2285	5332	10286
454	2236	9140
64	2285	8142
1400	3161	7468
2285	4443	5566
1677	5653	5564
121	3691	4876
2516	4432	4572
3037	3362	4006
679	4388	3906
2285	4630	3864
536	679	3674
2285	5205	3436
37	3599	3410
1132	2892	3340
655	3696	3326
206	2379	3202
1677	5548	3090
2285	2288	3010
121	679	2982
2785	5449	2980
2247	2516	2860
1253	1677	2722
3313	5729	2654
3272	5653	2528
1677	1921	2482
2785	5057	2460
832	3696	2406
3272	3599	2388
2326	2634	2280
655	5100	2250
3876	5108	2182
464	1579	2180
2370	4344	2170
679	1446	2170
2785	4859	2156
2285	3473	2142
37	5029	2140
121	2785	2094
2163	4886	2072
443	1677	2032
2480	3582	1998
3141	5487	1910
4718	5487	1900
3563	4491	1900
1890	2163	1856
2163	5332	1790
4624	5057	1760
2785	4624	1752
1561	4922	1750
2806	3390	1732
3681	4574	1728
2785	4673	1720
443	3599	1714
1748	5729	1706
1280	1297	1682
4673	5057	1672
226	1023	1672
144	5553	1656
243	3679	1628
37	3272	1624
1446	2940	1616
832	5100	1598
3582	5110	1586
4144	5487	1568
1253	5653	1554
1491	5362	1546
19	655	1544
2785	5626	1526
2073	2441	1524
2516	4257	1468
1253	3599	1460
776	2785	1430
655	2287	1424
64	2163	1410
1890	4886	1400
36	4002	1390
3876	5729	1372
2312	5653	1366
109	2400	1364
1748	3313	1360
4886	5332	1344
1079	2254	1340
1815	2254	1328
2940	4859	1318
4339	5548	1316
205	679	1298
2285	5587	1288
1491	1641	1278
2370	3582	1272
3299	4962	1260
515	3037	1258
860	3363	1256
3562	3786	1248
1721	4002	1244
1314	2073	1244
1253	5029	1244
2785	4755	1240
2312	4803	1240
1446	3582	1240
2785	3835	1236
3155	3390	1234
3835	5057	1232
679	5026	1230
2731	4574	1218
1890	5332	1214
2785	3345	1206
148	655	1204
2516	5360	1192
1807	4538	1192
3599	5548	1188
2236	2266	1184
1255	5487	1176
3876	4290	1174
1921	5653	1154
3691	5057	1152
1190	2990	1136
1253	4339	1128
2822	4779	1118
1111	5677	1110
989	4779	1110
501	1579	1108
19	832	1100
1502	2430	1092
1207	2073	1088
4859	5057	1082
1662	4229	1078
655	2462	1072
64	4886	1072
3696	5100	1064
480	870	1064
655	3561	1062
4554	5624	1054
2785	5731	1054
1921	4339	1052
1491	2420	1052
2940	3661	1044
1921	3599	1042
1406	2640	1042
1491	2576	1040
3133	3374	1036
1748	4290	1036
1921	5029	1024
832	2287	1010
5057	5731	1008
850	3072	1008
679	1135	1002
695	3562	988
1900	2950	980
4388	5057	972
2785	4388	968
2163	4443	966
543	1885	966
2459	4665	962
334	1132	960
1871	5528	958
3243	4832	956
2104	2785	956
64	1890	954
1807	3908	952
2041	2763	950
679	3661	950
679	2480	946
1286	2738	944
3257	3492	942
1400	5692	936
82	2785	936
243	5729	934
334	860	932
4049	4666	916
802	4886	902
516	4226	900
3538	3582	894
1455	1465	894
2104	5057	886
1677	4487	886
3835	4624	882
1491	2202	880
1455	4174	880
1108	2785	878
1082	4344	878
